user_id,session_code,smartwatch_time_taken,smartwatch_message_length,smartwatch_non_contiguous_errors_per_100_chars,smartwatch_total_changes,smartwatch_erroneous_changes,phone_time_taken,task_name
oskar_user2,32u,80.93,75.0,12.0,,,,Task 3.2
ryan_Participant A,1,3.816,0.0,,,,,Task 1
ryan_Participant A,1p,,,,,,12.6,Task 1
ryan_Participant A,2,13.827,14.0,14.286,1.0,0.0,,Task 2
ryan_Participant A,2p,,,,,,8.35,Task 2
ryan_Participant A,2u,11.421,14.0,7.143,,,,Task 2
ryan_Participant A,31,69.915,68.0,30.882,5.0,0.0,,Task 3.1
ryan_Participant A,31p,,,,,,18.01,Task 3.1
ryan_Participant A,31u,62.03,68.0,8.824,,,,Task 3.1
ryan_Participant A,32,60.765,77.0,15.584,7.0,0.0,,Task 3.2
ryan_Participant A,32p,,,,,,21.54,Task 3.2
ryan_Participant A,32u,50.11,75.0,9.333,,,,Task 3.2
ryan_Participant C,1,4.738,0.0,,,,,Task 1
ryan_Participant C,1p,,,,,,12.5,Task 1
ryan_Participant C,2,16.791,12.0,8.333,2.0,1.0,,Task 2
ryan_Participant C,2p,,,,,,13.63,Task 2
ryan_Participant C,2u,17.485,14.0,21.429,,,,Task 2
ryan_Participant C,31,57.233,68.0,11.765,5.0,0.0,,Task 3.1
ryan_Participant C,31p,,,,,,16.76,Task 3.1
ryan_Participant C,31u,59.432,68.0,10.294,,,,Task 3.1
ryan_Participant C,32,64.696,75.0,12.0,9.0,1.0,,Task 3.2
ryan_Participant C,32p,,,,,,17.09,Task 3.2
ryan_Participant C,32u,56.93,75.0,16.0,,,,Task 3.2
